Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5i7ThJfYLAzp2DyZuFpF6j,"Heart Of Glass (Live from the iHeart Festival)","Heart Of Glass / Midnight Sky","Miley Cyrus",2020-09-29,213671,1,false,69oh5k00ex7bpgk11ozuiftdn,2021-01-08T22:36:48Z,"","RCA Records Label",0.58,0.908,4,-5.303,1,0.0341,0.000335,0.0000484,0.087,0.427,115.016,4
spotify:track:5kRBzRZmZTXVg8okC7SJFZ,"Another Day Of Sun","La La Land (Original Motion Picture Soundtrack)","La La Land Cast",2016-12-09,228173,66,false,69oh5k00ex7bpgk11ozuiftdn,2021-01-08T22:45:31Z,"","UMGRI Interscope",0.588,0.742,8,-6.757,1,0.0528,0.0162,0.00000398,0.653,0.824,125.819,4
spotify:track:0ikz6tENMONtK6qGkOrU3c,"Wake Me Up Before You Go-Go","Make It Big","Wham!",1984-10-23,231333,80,false,69oh5k00ex7bpgk11ozuiftdn,2022-07-23T20:26:00Z,"christmas","Columbia",0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,4
spotify:track:4cOdK2wGLETKBW3PvgPWqT,"Never Gonna Give You Up","Whenever You Need Somebody","Rick Astley",1987-11-12,213573,5,false,69oh5k00ex7bpgk11ozuiftdn,2022-07-23T20:26:15Z,"","BMG Rights Management (UK) Ltd",0.721,0.939,8,-11.823,1,0.0376,0.115,0.0000379,0.108,0.914,113.309,4
spotify:track:1ChulFMnwxoD74Me8eX2TU,"You Spin Me Round (Like a Record)","Evolution: The Hits","Dead Or Alive",2003-05-19,195146,71,false,69oh5k00ex7bpgk11ozuiftdn,2022-07-23T20:26:21Z,"hi-nrg,synthpop","Epic",0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,4
spotify:track:6HGDxEtcoUsztb2xeVOXTP,"arrow","Now, Not Yet","half•alive",2019-08-09,222706,51,false,69oh5k00ex7bpgk11ozuiftdn,2021-01-08T22:45:35Z,"","half·alive/RCA Records",0.797,0.606,7,-6.41,1,0.0938,0.00549,0.0000962,0.0954,0.77,99.982,4
spotify:track:4TTcBKSLK2lvjJaEBJsVoP,"Absentee","Absentee","Jack Campbell",2013-07-27,161259,39,false,69oh5k00ex7bpgk11ozuiftdn,2021-01-08T22:46:13Z,"","Keen Coyote Records",0.664,0.591,2,-6.453,1,0.0469,0.131,0.0132,0.14,0.509,111.93,4
spotify:track:2I2mDjNl9SAdbQtUFsmTE7,"Home to Me","Live at Dorothy Major","Devil and the Deep Blue Sea",2016-01-05,217355,35,false,69oh5k00ex7bpgk11ozuiftdn,2021-01-08T22:46:20Z,"","601772 Records DK",0.443,0.395,2,-10.732,1,0.0318,0.819,0.0000119,0.149,0.645,130.4,4
spotify:track:67VxWciiaYZYy3NTlyCtp7,"Cigarette Ahegao","Public Void","Penelope Scott",2020-09-25,183992,59,true,69oh5k00ex7bpgk11ozuiftdn,2022-08-05T15:34:02Z,"","Penelope Scott and Many Hats Distribution",0.654,0.285,5,-13.379,0,0.0375,0.0966,0.0216,0.105,0.148,82.997,4
spotify:track:6gX1oGgkDZXVEnqm4CC8mk,"Too Close","Party Favors","Sir Chloe",2020-10-23,170575,0,false,69oh5k00ex7bpgk11ozuiftdn,2022-08-05T15:34:12Z,"","Terrible Records",0.421,0.556,9,-5.729,1,0.0514,0.171,0,0.178,0.536,166.021,4
spotify:track:25z6kpmIwkCUqk2IORrJ5v,"Rät","Public Void","Penelope Scott",2020-09-25,194165,0,true,69oh5k00ex7bpgk11ozuiftdn,2021-01-08T22:46:39Z,"","Tesla's Pigeon",0.591,0.45,5,-13.291,0,0.26,0.312,0.000116,0.147,0.304,144.201,4
spotify:track:7HZ6Ofd1vedQgESGo03MYn,"Waltz in E-Major, Op. 15 ""Moon Waltz""","Cojum Dip","Cojum Dip",2019-11-27,287748,50,false,69oh5k00ex7bpgk11ozuiftdn,2021-01-08T22:47:17Z,"","1166557 Records DK",0.418,0.612,4,-7.522,1,0.0278,0.0466,0.00279,0.372,0.411,89.968,3
